study	trial_id	freq_bin	nodes	bp	bp_frac	target_bp_frac	bp_frac_delta
crush_local_k63/auto	3	1.5-2	261	7021	0.000915367429868331	0.038940252065098165	-0.038024884635229836
crush_local_k63/auto	3	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/auto	3	>=3	1	1	1.3037564874922817e-07	0.00036936715094804237	-0.00036923677529929314
crush_local_k63/auto	4	0-0.01	274238	7439953	0.9740992699839234	0.008417093864028117	0.9656821761198953
crush_local_k63/auto	4	0.01-0.05	1052	55116	0.007216235823591079	0.04074231604396589	-0.03352608022037481
crush_local_k63/auto	4	0.05-0.1	299	11063	0.0014484581050219192	0.0012312238364934746	0.00021723426852844467
crush_local_k63/auto	4	0.1-0.25	698	21852	0.0028610418974002513	0.0017460992590271093	0.001114942638373142
crush_local_k63/auto	4	0.25-0.5	619	30412	0.003981786847141518	0.0006715766380873498	0.003310210209054168
crush_local_k63/auto	4	0.5-0.75	222	4696	0.0006148385845776853	0.0007611201898323297	-0.00014628160525464431
crush_local_k63/auto	4	0.75-1	2051	52152	0.006828164791928332	0.4076134404871169	-0.40078527569518857
crush_local_k63/auto	4	1-1.5	619	16005	0.0020955050140898327	0.22708244722526919	-0.22498694221117935
crush_local_k63/auto	4	1.5-2	248	6527	0.0008545680241777156	0.038940252065098165	-0.03808568404092045
crush_local_k63/auto	4	2-3	0	0	0.0	0.27242506324013344	-0.27242506324013344
crush_local_k63/auto	4	>=3	1	1	1.3092814833426009e-07	0.00036936715094804237	-0.0003692362227997081
crush_local_k63/chain-povu	1	0-0.01	330349	38423161	0.9986444555777008	0.008417093864028117	0.9902273617136726
crush_local_k63/chain-povu	1	0.01-0.05	471	12001	0.0003119142673188181	0.04074231604396589	-0.04043040177664707
crush_local_k63/chain-povu	1	0.05-0.1	191	4988	0.00012964156031882883	0.0012312238364934746	-0.0011015822761746457
crush_local_k63/chain-povu	1	0.1-0.25	232	6594	0.0001713826080076899	0.0017460992590271093	-0.0015747166510194195
crush_local_k63/chain-povu	1	0.25-0.5	124	3410	8.86282519421023e-05	0.0006715766380873498	-0.0005829483861452475
crush_local_k63/chain-povu	1	0.5-0.75	314	7777	0.00020212959394537525	0.0007611201898323297	-0.0005589905958869545
crush_local_k63/chain-povu	1	0.75-1	281	6267	0.00016288365246954696	0.4076134404871169	-0.40745055683464737
crush_local_k63/chain-povu	1	1-1.5	179	4475	0.00011630833649293485	0.22708244722526919	-0.22696613888877626
